Model,Perturbation,Level,Accuracy,Macro-F1
cnnlstm,GaussianNoise,0.0,0.8403256105197244,0.8449341386718897
gru,GaussianNoise,0.0,0.8371947401377583,0.8419817284139377
cnnlstm,GaussianNoise,0.05,0.8396994364433312,0.8443585607376195
gru,GaussianNoise,0.05,0.8365685660613651,0.8413110421924103
cnnlstm,GaussianNoise,0.1,0.839073262366938,0.8436287082869236
gru,GaussianNoise,0.1,0.8403256105197244,0.8451038598885964
cnnlstm,GaussianNoise,0.2,0.8365685660613651,0.8413197645746898
gru,GaussianNoise,0.2,0.8359423919849718,0.8406142668987342
cnnlstm,TimeMask,0.0,0.8403256105197244,0.8449341386718897
gru,TimeMask,0.0,0.8371947401377583,0.8419817284139377
cnnlstm,TimeMask,0.05,0.8384470882905448,0.8431135684893736
gru,TimeMask,0.05,0.8409517845961177,0.8456813591872177
cnnlstm,TimeMask,0.1,0.8334376956793988,0.8381188918305399
gru,TimeMask,0.1,0.8459611772072636,0.8507998135883182
cnnlstm,TimeMask,0.2,0.8321853475266124,0.8367869635964788
gru,TimeMask,0.2,0.8440826549780839,0.8498324706042313
